Frame,Class,Confidence,X1,Y1,X2,Y2
35,antenna,0.52,283,165,311,245
36,antenna,0.62,283,165,311,244
37,antenna,0.61,283,164,310,245
37,antenna,0.37,360,163,388,228
38,antenna,0.60,283,164,310,246
38,antenna,0.49,359,163,388,229
39,antenna,0.59,284,164,310,245
39,antenna,0.56,359,163,388,229
39,antenna,0.38,315,102,342,179
39,antenna,0.34,228,120,258,193
40,antenna,0.58,283,163,309,246
40,antenna,0.56,359,161,388,230
40,antenna,0.41,315,102,342,180
40,antenna,0.33,228,120,259,192
41,antenna,0.57,283,163,309,246
41,antenna,0.55,359,160,388,229
41,antenna,0.46,315,102,342,180
41,antenna,0.39,228,119,259,192
42,antenna,0.57,359,160,387,229
42,antenna,0.56,283,163,308,246
42,antenna,0.43,316,102,341,179
42,antenna,0.41,228,119,259,193
43,antenna,0.56,358,159,387,230
43,antenna,0.55,283,162,308,246
43,antenna,0.42,315,101,341,180
43,antenna,0.40,228,118,259,193
44,antenna,0.56,358,158,387,230
44,antenna,0.55,283,163,308,246
44,antenna,0.43,315,101,341,179
44,antenna,0.41,228,118,259,194
45,antenna,0.56,358,158,387,230
45,antenna,0.54,283,163,307,245
45,antenna,0.45,315,102,341,178
45,antenna,0.40,229,118,259,194
46,antenna,0.56,358,159,387,230
46,antenna,0.54,283,163,307,245
46,antenna,0.45,315,102,341,178
46,antenna,0.38,229,118,260,196
47,antenna,0.55,358,158,387,230
47,antenna,0.54,282,163,307,245
47,antenna,0.45,314,102,341,179
47,antenna,0.36,229,118,260,196
48,antenna,0.57,358,159,387,231
48,antenna,0.54,282,163,307,245
48,antenna,0.47,315,102,341,178
48,antenna,0.37,229,118,259,196
49,antenna,0.57,358,159,387,231
49,antenna,0.53,283,164,306,245
49,antenna,0.46,315,102,342,178
49,antenna,0.37,229,119,259,197
49,antenna,0.32,192,169,231,249
50,antenna,0.56,357,158,388,231
50,antenna,0.53,282,163,306,245
50,antenna,0.44,313,102,342,178
50,antenna,0.36,229,118,260,197
50,antenna,0.32,192,170,231,249
51,antenna,0.55,357,155,388,232
51,antenna,0.52,281,163,306,245
51,antenna,0.45,312,101,343,178
51,antenna,0.34,192,172,231,248
51,antenna,0.34,229,118,261,197
52,antenna,0.55,357,153,388,232
52,antenna,0.51,281,164,306,245
52,antenna,0.45,311,101,343,178
52,antenna,0.38,193,173,231,248
52,antenna,0.33,229,118,261,198
53,antenna,0.53,357,152,389,232
53,antenna,0.50,281,164,306,245
53,antenna,0.48,310,101,343,178
53,antenna,0.37,193,171,231,248
53,antenna,0.32,229,117,261,198
54,antenna,0.50,309,100,344,179
54,antenna,0.50,357,151,389,232
54,antenna,0.49,281,164,305,245
54,antenna,0.32,193,170,231,246
54,antenna,0.31,229,117,261,198
55,antenna,0.53,309,100,344,178
55,antenna,0.50,281,164,305,245
55,antenna,0.49,357,151,389,232
55,antenna,0.31,193,170,232,246
56,antenna,0.52,309,101,344,179
56,antenna,0.49,280,164,305,245
56,antenna,0.47,357,150,389,233
57,antenna,0.51,310,101,345,181
57,antenna,0.50,280,164,305,244
57,antenna,0.45,357,150,389,234
58,antenna,0.51,311,101,345,180
58,antenna,0.51,279,165,305,244
58,antenna,0.45,356,150,388,234
58,antenna,0.30,229,116,260,200
59,antenna,0.51,279,165,304,244
59,antenna,0.50,311,101,345,181
59,antenna,0.45,356,149,389,234
60,antenna,0.52,279,165,304,244
60,antenna,0.49,311,97,346,185
60,antenna,0.45,356,149,388,234
61,antenna,0.52,279,165,304,244
61,antenna,0.46,356,149,388,234
61,antenna,0.45,312,101,345,181
62,antenna,0.52,279,165,304,244
62,antenna,0.45,311,97,346,183
62,antenna,0.45,356,151,387,231
63,antenna,0.53,279,165,303,244
63,antenna,0.43,357,153,387,231
63,antenna,0.40,311,98,346,183
64,antenna,0.54,278,165,303,244
64,antenna,0.43,356,162,386,231
64,antenna,0.39,312,98,346,182
65,antenna,0.54,278,164,303,244
65,antenna,0.43,356,163,386,232
65,antenna,0.39,312,98,346,183
66,antenna,0.55,278,164,303,244
66,antenna,0.44,356,164,386,232
66,antenna,0.38,315,102,346,182
67,antenna,0.55,278,164,303,244
67,antenna,0.44,357,158,386,232
67,antenna,0.40,315,102,346,182
68,antenna,0.55,278,164,303,245
68,antenna,0.43,358,158,386,232
68,antenna,0.39,313,99,347,184
69,antenna,0.55,278,164,303,245
69,antenna,0.42,358,156,386,232
69,antenna,0.37,314,99,348,184
70,antenna,0.55,278,164,302,245
70,antenna,0.42,358,159,386,232
70,antenna,0.36,316,102,347,182
71,antenna,0.54,278,163,302,245
71,antenna,0.41,358,162,385,232
71,antenna,0.34,313,101,348,184
72,antenna,0.54,277,163,302,245
72,antenna,0.40,358,167,383,232
72,antenna,0.32,313,101,349,183
73,antenna,0.54,277,163,302,245
73,antenna,0.41,357,166,384,233
74,antenna,0.54,277,164,302,245
74,antenna,0.41,358,166,384,233
75,antenna,0.53,277,164,302,246
75,antenna,0.39,358,166,383,234
76,antenna,0.54,277,164,302,245
76,antenna,0.40,358,166,383,235
77,antenna,0.54,277,163,302,245
77,antenna,0.40,357,170,381,235
77,antenna,0.31,236,114,268,192
77,antenna,0.30,319,101,349,179
78,antenna,0.54,277,163,302,245
78,antenna,0.40,357,170,381,235
78,antenna,0.30,320,102,349,179
78,antenna,0.30,236,114,267,191
79,antenna,0.54,277,163,302,245
79,antenna,0.41,357,171,380,235
80,antenna,0.53,277,163,302,246
80,antenna,0.39,357,171,380,236
81,antenna,0.53,277,163,302,246
81,antenna,0.39,357,171,379,236
81,antenna,0.30,191,166,226,238
82,antenna,0.53,277,163,301,246
82,antenna,0.39,358,172,379,236
82,antenna,0.33,191,166,226,239
82,antenna,0.31,324,103,351,178
83,antenna,0.53,277,163,302,246
83,antenna,0.38,358,171,379,237
83,antenna,0.30,324,103,351,179
83,antenna,0.30,191,166,227,239
84,antenna,0.52,277,163,302,246
84,antenna,0.39,358,172,379,237
85,antenna,0.53,277,163,302,246
85,antenna,0.39,358,172,379,237
85,antenna,0.34,322,103,353,182
85,antenna,0.33,191,165,228,239
86,antenna,0.52,277,163,302,246
86,antenna,0.38,358,172,379,238
86,antenna,0.32,322,103,353,183
86,antenna,0.32,190,163,228,239
87,antenna,0.53,277,163,302,246
87,antenna,0.38,358,173,379,238
87,antenna,0.36,323,104,354,182
87,antenna,0.34,190,161,229,238
88,antenna,0.53,276,163,302,246
88,antenna,0.39,358,172,379,238
88,antenna,0.39,190,161,228,238
88,antenna,0.34,323,105,353,182
89,antenna,0.53,276,163,302,246
89,antenna,0.39,190,160,228,239
89,antenna,0.38,358,172,379,239
89,antenna,0.35,322,104,354,184
90,antenna,0.53,276,163,303,246
90,antenna,0.41,191,160,227,239
90,antenna,0.39,358,172,379,239
90,antenna,0.38,321,104,354,185
91,antenna,0.53,276,163,303,246
91,antenna,0.42,191,162,227,239
91,antenna,0.40,358,172,379,239
91,antenna,0.38,322,104,355,184
92,antenna,0.53,276,163,303,245
92,antenna,0.44,190,159,228,239
92,antenna,0.40,357,170,378,240
92,antenna,0.38,322,104,355,185
93,antenna,0.54,276,164,304,245
93,antenna,0.46,190,156,228,239
93,antenna,0.40,357,172,378,241
93,antenna,0.36,323,104,355,184
94,antenna,0.55,276,163,304,245
94,antenna,0.45,189,157,229,238
94,antenna,0.41,357,172,378,241
94,antenna,0.37,324,104,355,184
95,antenna,0.55,276,163,304,245
95,antenna,0.44,189,158,228,237
95,antenna,0.39,357,172,378,241
95,antenna,0.36,322,103,355,185
96,antenna,0.56,275,163,304,245
96,antenna,0.42,190,160,228,237
96,antenna,0.39,357,172,378,241
96,antenna,0.35,323,103,356,185
97,antenna,0.58,275,163,304,245
97,antenna,0.43,190,161,227,236
97,antenna,0.40,357,173,379,241
97,antenna,0.33,323,102,356,184
98,antenna,0.58,275,163,303,245
98,antenna,0.41,190,158,227,236
98,antenna,0.39,357,173,379,241
98,antenna,0.35,323,103,357,185
99,antenna,0.58,275,164,302,245
99,antenna,0.45,191,155,227,235
99,antenna,0.39,357,173,379,242
99,antenna,0.38,322,103,357,185
100,antenna,0.58,275,164,302,245
100,antenna,0.46,191,155,227,234
100,antenna,0.41,357,173,379,242
100,antenna,0.37,322,104,357,185
101,antenna,0.58,274,163,302,245
101,antenna,0.44,191,154,227,234
101,antenna,0.40,356,173,380,242
101,antenna,0.35,321,104,357,186
102,antenna,0.58,274,163,302,245
102,antenna,0.46,191,154,227,233
102,antenna,0.41,356,173,380,242
102,antenna,0.34,320,104,357,186
103,antenna,0.59,274,163,301,245
103,antenna,0.49,191,155,227,233
103,antenna,0.42,356,174,379,242
104,antenna,0.59,274,163,302,245
104,antenna,0.49,191,153,227,233
104,antenna,0.41,356,174,380,242
105,antenna,0.58,273,163,302,245
105,antenna,0.49,191,153,228,233
105,antenna,0.42,356,174,380,243
106,antenna,0.59,273,164,301,246
106,antenna,0.51,190,153,228,232
106,antenna,0.42,356,175,380,243
107,antenna,0.59,273,163,302,246
107,antenna,0.52,191,152,227,232
107,antenna,0.42,355,174,380,243
108,antenna,0.59,273,164,301,244
108,antenna,0.54,191,152,228,231
108,antenna,0.44,355,174,380,244
109,antenna,0.60,273,164,300,244
109,antenna,0.56,191,153,227,230
109,antenna,0.45,355,174,380,244
110,antenna,0.60,272,163,300,244
110,antenna,0.56,191,150,228,230
110,antenna,0.45,355,175,380,245
111,antenna,0.60,272,163,300,243
111,antenna,0.57,191,149,228,230
111,antenna,0.47,355,175,381,245
112,antenna,0.61,272,163,299,243
112,antenna,0.58,191,150,228,230
112,antenna,0.49,355,175,381,245
113,antenna,0.60,272,163,299,243
113,antenna,0.59,191,150,228,230
113,antenna,0.49,355,175,381,245
114,antenna,0.60,191,148,229,230
114,antenna,0.59,272,163,299,243
114,antenna,0.51,354,175,381,245
115,antenna,0.59,271,163,299,242
115,antenna,0.59,191,148,229,230
115,antenna,0.52,354,176,381,245
115,antenna,0.30,331,107,359,184
116,antenna,0.56,270,162,300,243
116,antenna,0.55,190,148,230,230
116,antenna,0.51,354,177,381,245
117,antenna,0.56,270,162,299,243
117,antenna,0.54,190,148,230,230
117,antenna,0.50,354,177,381,245
117,antenna,0.31,323,106,359,185
118,antenna,0.56,270,162,299,242
118,antenna,0.54,191,150,229,229
118,antenna,0.49,354,178,381,245
118,antenna,0.36,324,106,360,185
119,antenna,0.55,270,162,299,242
119,antenna,0.53,191,149,229,229
119,antenna,0.47,354,178,381,246
119,antenna,0.38,322,106,360,185
120,antenna,0.55,270,162,298,241
120,antenna,0.52,191,149,228,229
120,antenna,0.45,353,178,381,246
120,antenna,0.35,321,106,360,185
121,antenna,0.55,270,162,298,241
121,antenna,0.53,191,148,228,229
121,antenna,0.44,353,180,380,247
121,antenna,0.33,321,106,360,184
122,antenna,0.54,270,162,298,241
122,antenna,0.47,191,146,228,228
122,antenna,0.43,353,180,380,247
122,antenna,0.34,320,106,360,184
123,antenna,0.55,270,162,298,241
123,antenna,0.46,191,146,227,228
123,antenna,0.42,353,180,379,247
123,antenna,0.33,321,106,360,184
124,antenna,0.56,270,161,298,241
124,antenna,0.46,191,146,227,227
124,antenna,0.42,353,179,379,247
125,antenna,0.56,270,161,298,241
125,antenna,0.41,353,180,378,247
125,antenna,0.34,191,146,227,227
126,antenna,0.56,270,161,298,241
126,antenna,0.40,353,179,378,247
127,antenna,0.56,269,160,297,241
127,antenna,0.40,353,180,376,245
127,antenna,0.36,191,148,227,225
128,antenna,0.56,269,159,297,241
128,antenna,0.40,353,180,376,245
128,antenna,0.31,190,148,228,225
129,antenna,0.56,269,159,297,241
129,antenna,0.40,353,180,376,244
130,antenna,0.57,269,159,297,241
130,antenna,0.41,353,180,376,244
131,antenna,0.56,268,159,297,241
131,antenna,0.40,352,181,376,244
132,antenna,0.57,268,159,296,241
132,antenna,0.40,352,181,376,244
133,antenna,0.57,268,158,296,241
133,antenna,0.40,352,181,375,244
134,antenna,0.57,268,158,295,241
134,antenna,0.40,352,182,376,245
135,antenna,0.57,268,157,295,240
135,antenna,0.40,352,182,376,245
136,antenna,0.58,268,158,295,240
136,antenna,0.41,350,182,372,247
137,antenna,0.58,268,158,295,240
137,antenna,0.40,352,182,375,247
138,antenna,0.59,268,158,295,240
138,antenna,0.40,350,182,372,248
139,antenna,0.61,268,158,294,240
139,antenna,0.39,350,182,371,247
140,antenna,0.60,267,157,294,240
140,antenna,0.38,352,182,374,247
141,antenna,0.61,267,157,294,240
141,antenna,0.38,350,183,371,247
142,antenna,0.61,267,158,294,240
142,antenna,0.38,350,184,371,247
143,antenna,0.58,267,157,294,240
143,antenna,0.38,350,183,370,247
144,antenna,0.54,267,155,293,241
144,antenna,0.40,350,184,370,247
145,antenna,0.54,267,156,293,241
145,antenna,0.42,350,184,370,247
146,antenna,0.53,266,154,293,241
146,antenna,0.43,350,184,370,247
147,antenna,0.53,266,153,292,240
147,antenna,0.45,349,184,370,246
148,antenna,0.53,266,154,292,240
148,antenna,0.47,349,184,370,246
149,antenna,0.50,264,150,292,240
149,antenna,0.45,349,184,369,246
150,antenna,0.49,262,139,293,240
150,antenna,0.45,349,184,369,246
151,antenna,0.50,264,150,292,239
151,antenna,0.47,349,184,369,246
152,antenna,0.47,261,122,293,239
152,antenna,0.47,349,184,369,246
153,antenna,0.47,260,120,293,239
153,antenna,0.47,348,184,369,246
153,antenna,0.36,190,134,226,215
154,antenna,0.50,261,136,292,239
154,antenna,0.47,348,184,368,245
154,antenna,0.33,190,134,227,215
155,antenna,0.48,260,126,293,239
155,antenna,0.46,347,185,369,246
155,antenna,0.31,189,137,227,214
156,antenna,0.48,260,129,292,238
156,antenna,0.46,347,185,369,246
156,antenna,0.39,189,135,227,214
157,antenna,0.50,260,133,292,238
157,antenna,0.47,347,185,368,246
157,antenna,0.46,189,136,226,214
158,antenna,0.47,259,119,293,238
158,antenna,0.47,347,185,368,246
158,antenna,0.45,189,134,226,214
159,antenna,0.47,346,185,368,247
159,antenna,0.46,260,123,291,236
159,antenna,0.40,189,133,226,213
159,antenna,0.30,368,168,387,234
160,antenna,0.47,346,186,368,247
160,antenna,0.47,260,127,291,236
160,antenna,0.41,189,130,226,213
160,antenna,0.31,367,168,387,234
161,antenna,0.47,260,128,291,235
161,antenna,0.46,345,186,368,247
161,antenna,0.39,190,129,225,212
161,antenna,0.31,365,167,386,235
162,antenna,0.46,260,145,289,234
162,antenna,0.45,345,185,367,247
162,antenna,0.45,190,128,225,211
162,antenna,0.33,365,168,386,235
163,antenna,0.48,260,143,290,234
163,antenna,0.46,190,130,225,211
163,antenna,0.46,345,185,366,247
163,antenna,0.35,365,168,386,235
164,antenna,0.47,260,148,288,233
164,antenna,0.43,345,185,366,247
164,antenna,0.42,190,132,225,211
164,antenna,0.34,365,169,386,236
165,antenna,0.46,260,150,288,232
165,antenna,0.43,189,131,224,210
165,antenna,0.42,345,185,366,247
165,antenna,0.34,365,168,386,236
166,antenna,0.46,261,151,287,232
166,antenna,0.45,190,131,225,210
166,antenna,0.42,345,186,365,247
166,antenna,0.35,366,168,386,237
167,antenna,0.46,261,152,286,233
167,antenna,0.45,345,186,365,247
167,antenna,0.45,191,133,223,208
167,antenna,0.39,366,168,386,236
168,antenna,0.45,260,151,287,233
168,antenna,0.43,190,131,225,209
168,antenna,0.42,345,186,365,247
168,antenna,0.39,366,168,386,236
169,antenna,0.46,261,153,286,232
169,antenna,0.43,190,132,223,208
169,antenna,0.40,345,186,365,247
169,antenna,0.39,365,168,386,237
170,antenna,0.46,261,153,286,232
170,antenna,0.40,191,135,223,208
170,antenna,0.40,344,187,364,248
170,antenna,0.38,364,170,386,238
171,antenna,0.45,261,154,286,232
171,antenna,0.38,364,170,386,238
171,antenna,0.38,344,187,364,248
171,antenna,0.37,191,138,225,208
172,antenna,0.45,261,154,286,232
172,antenna,0.38,191,134,225,208
172,antenna,0.38,344,187,364,248
172,antenna,0.38,364,171,386,238
173,antenna,0.45,261,154,285,232
173,antenna,0.39,344,187,363,249
173,antenna,0.38,364,171,386,238
173,antenna,0.36,191,139,224,207
174,antenna,0.47,261,154,286,232
174,antenna,0.41,191,132,224,207
174,antenna,0.39,364,171,386,238
174,antenna,0.38,344,187,363,249
175,antenna,0.47,261,154,287,231
175,antenna,0.42,191,128,224,207
175,antenna,0.38,364,171,386,238
175,antenna,0.38,344,187,363,250
176,antenna,0.50,261,153,287,231
176,antenna,0.47,191,136,223,206
176,antenna,0.39,364,170,386,238
176,antenna,0.39,343,187,362,250
176,antenna,0.32,347,106,371,184
177,antenna,0.49,261,153,287,231
177,antenna,0.43,191,134,224,206
177,antenna,0.40,363,170,386,238
177,antenna,0.39,343,186,363,251
178,antenna,0.51,261,152,287,231
178,antenna,0.48,191,133,224,206
178,antenna,0.41,363,170,386,238
178,antenna,0.41,342,187,361,251
179,antenna,0.53,261,152,287,231
179,antenna,0.51,192,133,225,206
179,antenna,0.44,365,169,386,238
179,antenna,0.43,342,187,361,251
180,antenna,0.53,261,152,287,231
180,antenna,0.52,191,132,225,205
180,antenna,0.44,342,187,361,251
180,antenna,0.41,365,169,386,238
181,antenna,0.55,192,132,225,205
181,antenna,0.53,261,152,287,231
181,antenna,0.45,342,187,361,251
181,antenna,0.39,365,169,386,239
182,antenna,0.57,192,135,225,204
182,antenna,0.53,261,152,287,231
182,antenna,0.44,342,188,360,252
182,antenna,0.39,363,172,386,239
183,antenna,0.58,191,130,226,205
183,antenna,0.53,261,152,286,231
183,antenna,0.43,341,188,360,252
183,antenna,0.37,363,173,386,239
184,antenna,0.59,191,127,227,204
184,antenna,0.53,261,152,286,231
184,antenna,0.42,341,188,360,252
184,antenna,0.36,363,173,386,241
185,antenna,0.59,192,130,227,203
185,antenna,0.54,261,152,286,231
185,antenna,0.41,341,189,359,253
185,antenna,0.37,363,173,385,241
186,antenna,0.58,191,127,228,203
186,antenna,0.53,260,152,286,231
186,antenna,0.39,341,189,359,253
186,antenna,0.34,363,174,385,242
187,antenna,0.58,192,127,228,202
187,antenna,0.53,260,151,286,231
187,antenna,0.37,341,189,359,252
187,antenna,0.32,363,174,385,243
188,antenna,0.59,192,127,227,202
188,antenna,0.55,260,151,287,231
188,antenna,0.38,340,189,359,252
188,antenna,0.33,363,174,385,242
189,antenna,0.58,192,127,228,202
189,antenna,0.53,260,151,287,231
189,antenna,0.37,340,189,359,252
190,antenna,0.56,192,132,227,202
190,antenna,0.54,260,150,287,231
190,antenna,0.37,339,189,360,252
191,antenna,0.57,192,134,228,201
191,antenna,0.54,260,150,287,231
191,antenna,0.38,339,189,360,252
192,antenna,0.55,192,132,228,200
192,antenna,0.52,259,150,287,231
192,antenna,0.35,338,189,360,252
193,antenna,0.55,192,132,229,199
193,antenna,0.52,259,150,286,231
